seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,4,46,20,50,2,20,51.189,-112.469,1,16,11.6515,1,16,11.6515,1,1
42,4,46,20,50,2,21,-32.5928,-29.2388,1,18,7.95707,1,0,35.3826,4.44669,0
42,4,46,20,50,2,22,49.0974,-161.206,1,16,25.1628,1,16,25.1628,1,1
42,4,46,20,50,2,23,-79.7985,-56.3846,1,13,7.67272,1,3,16.9676,2.21142,0
42,4,46,20,50,2,24,66.0134,-137.182,1,16,7.92999,1,16,7.92999,1,1
42,4,46,20,50,2,25,-72.7914,-166.781,1,7,7.32506,1,7,7.32506,1,1
42,4,46,20,50,2,26,78.5112,-0.309113,2,2,24.0116,1,2,24.0116,1,1
42,4,46,20,50,2,27,-81.4265,148.545,2,4,4.00618,1,3,27.8129,6.9425,0
42,4,46,20,50,2,28,-43.1807,124.449,2,17,24.68,1,1,50.584,2.04959,0
42,4,46,20,50,2,29,-56.6344,-13.3466,1,13,19.5708,1,3,22.131,1.13082,0
42,4,46,20,50,2,30,86.2532,101.675,2,5,15.3903,1,5,15.3903,1,1
42,4,46,20,50,2,31,85.6254,-51.6981,1,2,11.0218,1,2,11.0218,1,1
42,4,46,20,50,2,32,21.9864,-98.3313,1,16,43.3784,1,16,43.3784,1,1
42,4,46,20,50,2,33,58.7876,102.295,2,9,20.7958,1,9,20.7958,1,1
42,4,46,20,50,2,34,-32.0422,74.0121,2,1,14.8075,1,1,14.8075,1,1
42,4,46,20,50,2,35,-20.8262,-141.706,1,8,12.7004,1,7,54.8387,4.31787,0
42,4,46,20,50,2,36,70.7717,73.1621,2,5,23.9143,1,5,23.9143,1,1
42,4,46,20,50,2,37,4.52739,59.7383,2,1,26.0821,1,1,26.0821,1,1
42,4,46,20,50,2,38,45.9781,29.4578,2,15,17.3964,1,0,60.8595,3.4984,0
42,4,46,20,50,2,39,-88.3231,43.9831,2,12,2.83247,1,3,14.0716,4.96796,0
42,4,46,20,50,2,40,36.1378,-142.229,1,16,28.3311,1,16,28.3311,1,1
42,4,46,20,50,2,41,28.6011,49.2979,2,15,17.7774,1,1,52.1071,2.93109,0
42,4,46,20,50,2,42,18.7309,74.3492,2,15,31.9389,1,1,35.9669,1.12612,0
42,4,46,20,50,2,43,8.92147,131.1,2,6,22.4513,1,9,54.2438,2.41607,0
42,4,46,20,50,2,44,9.39921,84.5742,2,1,28.5743,1,1,28.5743,1,1
42,4,46,20,50,2,45,-31.1231,11.3048,1,18,27.3278,1,0,30.0857,1.10092,0
42,4,46,20,50,2,46,3.12469,-70.9953,1,19,33.6054,1,0,66.3155,1.97336,0
42,4,46,20,50,2,47,69.8034,-129.778,1,16,8.93083,1,16,8.93083,1,1
42,4,46,20,50,2,48,5.33666,77.182,2,1,22.7661,1,1,22.7661,1,1
42,4,46,20,50,2,49,76.2585,126.589,2,5,6.84799,1,5,6.84799,1,1
42,5,47,20,50,2,0,0.266472,65.442,2,5,41.0509,1,5,41.0509,1,1
42,5,47,20,50,2,1,57.9559,-62.4724,1,6,13.1446,1,6,13.1446,1,1
42,5,47,20,50,2,2,-76.0442,-40.4001,1,19,43.3029,1,2,54.4837,1.2582,0
42,5,47,20,50,2,3,-20.5155,-155.293,1,9,26.7464,1,1,35.219,1.31678,0
42,5,47,20,50,2,4,-42.9529,150.424,2,4,15.1934,1,4,15.1934,1,1
42,5,47,20,50,2,5,-67.8965,-141.637,1,1,20.7732,1,1,20.7732,1,1
42,5,47,20,50,2,6,28.6735,33.5896,2,13,22.11,1,5,44.7266,2.02292,0
42,5,47,20,50,2,7,-3.09136,-42.1302,1,11,3.27413,1,2,21.4615,6.55489,0
42,5,47,20,50,2,8,-81.4522,-85.4448,1,19,39.8782,1,1,43.5565,1.09224,0
42,5,47,20,50,2,9,88.4915,111.269,2,8,0.637297,1,8,0.637297,1,1
42,5,47,20,50,2,10,75.3363,-54.2826,1,3,4.30241,1,3,4.30241,1,1
42,5,47,20,50,2,11,-18.6568,-10.6741,1,11,35.7213,1,5,36.3622,1.01794,0
42,5,47,20,50,2,12,73.9908,-177.478,1,3,27.9394,1,3,27.9394,1,1
42,5,47,20,50,2,13,-18.1312,117.947,2,4,41.6411,1,4,41.6411,1,1
42,5,47,20,50,2,14,10.7503,60.3923,2,14,36.5284,1,5,42.3276,1.15876,0
42,5,47,20,50,2,15,-76.6918,-157.966,1,1,24.1542,1,1,24.1542,1,1
42,5,47,20,50,2,16,-27.0828,142.528,2,4,17.039,1,4,17.039,1,1
